"accountName","accountLinkedin","accountUrl","accountDescription","peopleLinkedin","status","initialReason"
"Cohere","https://www.linkedin.com/company/cohere-ai/","http://cohere.ai","Cohere, a leading pioneer in language AI, empowers every developer and business to build incredible products with world-leading natural language processing (NLP) technology while keeping their data private and secure. Cohere enables businesses of all sizes to explore, generate, and search for information in a new way that’s more intuitive and more natural than ever before.","https://linkedin.com/in/jim-wu-","invalid","Proxycurl linkedin does not match account"
"Cohere","https://www.linkedin.com/company/cohere-ai/","http://cohere.ai","Cohere, a leading pioneer in language AI, empowers every developer and business to build incredible products with world-leading natural language processing (NLP) technology while keeping their data private and secure. Cohere enables businesses of all sizes to explore, generate, and search for information in a new way that’s more intuitive and more natural than ever before.","https://linkedin.com/in/br%c3%a0n%c3%a9-petrovic-19408018","invalid","proxycurl scraping error"
"RazorSecure","https://www.linkedin.com/company/razorsecure/","http://www.razorsecure.com","RazorSecure offers products and services to enhance railway cyber security by protecting networks and monitoring key systems. We deliver this through our flexible approach to cyber security, designed specifically for rolling stock, signalling and infrastructure systems. We’ve learned from working with industry leading companies that everyone has a unique set of requirements and challenges to overcome, so we have tailored our solution to provide the flexibility to address even the most difficult environments.","https://linkedin.com/in/bartekjuofg","invalid","Proxycurl linkedin does not match account"
"Paperchase","https://www.linkedin.com/company/paperchase/","http://www.paperchase.com","#CelebrateEveryDay

Paperchase is an iconic British brand with a global presence. With all things celebration at our core, we are the (smiley) face of the positive moments in life for customers in more than 90 stores across the UK. 

For over 50 years we’ve been bringing joy to the everyday through our innovative, design-led cards, wrap, stationery and gifts. Our seasonal collections are brought to life using the highest quality materials from around the world and the talents of our in-house teams in London. 

All Paperchasers are brought together by our core shared values. 

We are… 
BOLD in our decision making
FRESH THINKERS always looking for ways to be even better 
PLAYFUL in everything we do
KIND to our customers, our colleagues and our planet. 

If this sounds like you, come and join us in spreading a little joy every day. See our current vacancies at paperchase.com/careers","https://linkedin.com/in/olly-raeburn-0896242","invalid","proxycurl scraping error"
"Rapha","https://www.linkedin.com/company/rapha-racing-limited/","http://rapha.cc","Founded by Simon Mottram in London in 2004, Rapha makes the world’s finest cycling clothing. For 15 years, our products have redefined comfort, performance, and style for cyclists from absolute beginners through to WorldTour professionals.

Born from a love of the sport, Rapha regularly organises and sponsors unique rides and events. The Rapha Cycling Club was founded in 2015 to bring cyclists together, and today there are already more than 17,000 members worldwide. Our 21 Clubhouses across Europe, North America and Asia have become hubs for RCC members and local cyclists, offering a café space and stocking the latest products.

Rapha is proud to have worked with the sport's best athletes from its earliest days. First, as title sponsor to the British UCI Continental team Rapha-Condor from 2005 to 2012, then as clothing supplier to Team Sky from 2012 to 2016. We continue to work at the top tiers of professional cycling with the women’s UCI WorldTour team CANYON//SRAM since 2016, and, after publishing a two-year study on the state of the sport titled the Rapha Roadmap, we have returned to the men’s WorldTour with EF Education First Pro Cycling from 2019.","https://linkedin.com/in/hayley-stephens-a48407152","invalid","Proxycurl linkedin does not match account"
"QS Quacquarelli Symonds","https://www.linkedin.com/company/qs/","http://www.qs.com","Founded in 1990, QS Quacquarelli Symonds is now the leading global provider of specialist higher education and careers information and solutions.  
 
We ensure student candidates have access to helpful tools and the latest independent data and insights so they can make informed decisions about their education. We work with more than 2,000 of the world's leading higher education institutions and more than 12,000 employers, spanning across 50 countries. We provide higher ed services to the students and clients we serve at each academic stage; first degree, master’s, MBA – including Executive-level – and early career. 


Our Mission:  

To enable motivated people anywhere in the world to fulfil their potential through educational achievement, international mobility and career development.  


Our Values: 

We’re helpful and collaborative, providing universities and students with the insights and technology they need to reach their full potential. 

We’re authentic and approachable, conducting and sharing our own research and listening to what our audience needs.  

We’re independent and professional, facilitating partnerships and developments across the globe while staying impartial.  

We’re ambitious and innovative, dedicated to developing the best solutions for our clients and partners.","https://linkedin.com/in/nick-creagh-cdo","invalid","Proxycurl linkedin does not match account"
"QS Quacquarelli Symonds","https://www.linkedin.com/company/qs/","http://www.qs.com","Founded in 1990, QS Quacquarelli Symonds is now the leading global provider of specialist higher education and careers information and solutions.  
 
We ensure student candidates have access to helpful tools and the latest independent data and insights so they can make informed decisions about their education. We work with more than 2,000 of the world's leading higher education institutions and more than 12,000 employers, spanning across 50 countries. We provide higher ed services to the students and clients we serve at each academic stage; first degree, master’s, MBA – including Executive-level – and early career. 


Our Mission:  

To enable motivated people anywhere in the world to fulfil their potential through educational achievement, international mobility and career development.  


Our Values: 

We’re helpful and collaborative, providing universities and students with the insights and technology they need to reach their full potential. 

We’re authentic and approachable, conducting and sharing our own research and listening to what our audience needs.  

We’re independent and professional, facilitating partnerships and developments across the globe while staying impartial.  

We’re ambitious and innovative, dedicated to developing the best solutions for our clients and partners.","https://linkedin.com/in/nicholas-creagh-8158084","invalid","proxycurl scraping error"
"Stella McCartney","https://www.linkedin.com/company/stella-mccartney/","http://www.stellamccartney.com/","Stella McCartney is a luxury lifestyle brand that was launched under the designer’s name in 2001. It emboldens confident femininity with elevated yet effortless, conscious fashion. The brand is committed to being an ethical and modern company, believing it is responsible for the resources it uses and the impact it has on the environment. It is therefore constantly innovating new ways to become more sustainable, from designing to store practices and product manufacturing. As a lifelong vegetarian, Stella McCartney never uses any leather, feathers, fur or skins in any products for both ethical and environmental reasons – pioneering a movement for the use of alternative materials. Supporting regenerative agriculture and circularity, the brand is embracing new business models that will transform how clothes are sourced, produced, sold, shared, repaired and reused, promoting long-lasting products with extended use to reduce environmental impact.   Today, Stella McCartney spans women’s ready to wear, unisex capsules, kids’ clothing, accessories, swimwear, lingerie, a performance wear collaboration with adidas, STELLA skincare and more – with 48 directly owned stores and 21 franchise stores across New York City, London, Paris, Milan, Tokyo, Shanghai and Beijing. Our collections are now sold in 77 nations through 863 specialty shops and department stores, and ship to 100 countries via online.","https://linkedin.com/in/joanna-perez-cosenzo-03013285","invalid","Proxycurl linkedin does not match account"
"White Stuff","https://www.linkedin.com/company/white-stuff/","http://careers.whitestuff.com","White Stuff is a multi-channel brand with a strong heritage and values. Established in 1985 we have now grown to over 130 shops and concessions in the UK and internationally, selling women’s, men’s and children’s clothing as well as beautiful accessories and home ware. Our original prints, intricate details and considered design touches reflect our personality and make us subtly distinctive.

We’re a sociable, talented and like-minded bunch here at White Stuff, proud to be part of such a great brand, and passionate about our customers. We believe people are at the heart of our business, so we’re committed to building and sustaining a sense of community and togetherness, where everyone feels like they’re part of something special.

Growing at White Stuff:

We want to make sure there are numerous opportunities for our people to learn and grow. Our focus is enabling our people to develop personally and professionally through a combination of great conversations with your manager, supportive tools, and both internal and external training that supplements learning within your role.

Benefits and Perks:

At White Stuff we are a supportive family. We pride ourselves on working together to grow and evolve in a creative environment that’s so much more than just a place to work. Our surroundings matter, as do our values, that’s why we offer colleague discount on our lovely products, social events to bring everyone together and volunteering days to help our teams support what matters to them. 

Doing Good Stuff:

We’re dependable sorts at White Stuff, we want to make a meaningful difference to the world around us. It’s not just words, we’ve made some solid commitments to improve the world we live in. From our charity partners and our people, to our supply chain and our environment, doing good stuff runs through the heart of everything we do. 

Be sure to check out our White Stuff Foundation: https://www.whitestuff.com/our-foundation/","https://linkedin.com/in/michael-ring-6ba84181","invalid","Proxycurl linkedin does not match account"
"Sweaty Betty","https://www.linkedin.com/company/sweaty-betty/","https://www.sweatybetty.com/","We’re Sweaty Betty, a global activewear and lifestyle brand for women. We’re also a community that believes fitness is a flip-the-switch trigger for becoming the woman you want to be. Leggings and sports bras won’t change the world on their own. But with a grab-my-hand, let’s-go-for-it-now spirit, the women who wear them can. 

 Since our founder Tamara got us moving in 1998, we’ve stood and run for both performance and style. Just take our Power Leggings – with technical fabric that sculpts and shaves time off your PB. Every 60 seconds, a woman buys herself a pair. That’s exactly the kind of HIIT interval we like.  

Our on-the-go community treats every day like it’s made for moving, and we’re always pushing to do better too. Like crafting clothes from responsibly sourced materials and recycled bottles; caring for both your body and the planet.","https://linkedin.com/in/javneeka-soneji-7579ab107","invalid","Proxycurl linkedin does not match account"
